seed,base_col,base_len,base_time,corridor_col,corridor_len,corridor_time,car_col,car_len,car_time
73,1,567.540606173865,51.43715858459473,2,634.6360992134497,19.97417426109314,2,634.6360992134497,26.53530764579773
74,2,464.57708713218835,67.70330739021301,1,602.4652919053332,14.98408818244934,1,615.3279880566225,23.53296685218811
75,1,487.15739239496764,82.04119062423706,4,585.9368246783158,41.71172046661377,4,585.9368246783158,55.38322639465332
76,0,567.8233211470617,29.92474365234375,0,522.5657838676112,3.206702709197998,0,522.207868164289,6.259634256362915
77,1,498.5783329264228,68.63505983352661,1,453.96181788297054,10.272769927978516,1,465.26840050102527,10.991211175918579
78,1,435.5908402920109,52.060659885406494,1,532.3357308706146,8.159883260726929,3,518.6784841901745,20.69530415534973
79,2,493.2353260147071,85.69057178497314,3,464.1937872344335,10.934166669845581,3,462.13822007063123,14.410626649856567
80,0,511.9507748376215,14.213489055633545,0,591.3366329196156,1.5228493213653564,0,591.3366329196156,1.5216286182403564
81,3,465.1411766575121,94.18731164932251,3,481.9444672778521,18.961533546447754,3,512.1899754831917,38.374759674072266
82,0,540.1651806577433,30.21475076675415,0,536.1617061865231,6.863664388656616,0,536.1601272849622,8.278101444244385
83,1,525.5658601992718,57.238770723342896,1,489.86817235956636,8.225828409194946,1,489.86817235956636,10.372038841247559
84,2,537.0810182527274,84.86880540847778,2,494.95887055260033,14.317249536514282,2,495.5104185512692,28.143059015274048
85,3,588.4559310156368,78.96335005760193,1,457.02717015457716,11.459465503692627,1,457.726132286118,11.339205265045166
86,0,545.0339809767436,37.52413630485535,1,609.065383484055,20.875877141952515,0,594.0343201636255,11.496181726455688
87,5,527.8959544936033,247.3888385295868,2,638.4624302304709,19.302663803100586,2,638.4063360951748,31.214517831802368
88,1,494.8472772934025,109.56998610496521,1,492.2794553144472,15.580081939697266,1,492.2794553144472,21.11634111404419
89,2,534.9838665782045,65.11158919334412,4,505.2438829382182,28.05109930038452,3,489.69481371687255,36.89908719062805
90,2,442.40371076772624,110.67607474327087,1,445.17133547806037,12.661286354064941,1,445.17133547806037,17.06900429725647
91,1,490.84033384519955,90.0562891960144,1,446.6969895222059,10.547886371612549,1,446.69004144644316,13.46676778793335
92,1,498.9541230853284,40.43304228782654,2,532.6053707097612,14.61968445777893,2,533.4710525437579,19.987876653671265
93,4,600.8756029602628,113.72370076179504,2,435.0659520529163,10.617799282073975,2,434.4644422390244,19.586679697036743
94,0,515.5217964731721,30.898117780685425,1,648.5979222155224,10.655052900314331,1,648.3829963877477,13.5410795211792
95,1,531.0114640424478,71.82470178604126,2,559.3375305978598,18.965956449508667,2,578.6688116628967,20.814098834991455
96,0,502.6740029749002,30.64804768562317,0,471.1383104070736,7.443435192108154,0,471.10880761533116,9.403318881988525
97,3,469.22233410101853,81.18298125267029,2,507.7677686043292,16.427616596221924,2,507.7677686043292,21.514111757278442
98,1,549.299073876813,63.91013860702515,1,558.6031476764706,12.408104658126831,1,553.8893665138692,12.952841997146606
99,1,502.3256737256527,68.90791726112366,1,522.3862761376774,15.458451509475708,2,533.3519577291912,21.26664113998413
100,0,577.6207663481398,30.751744031906128,2,571.1013601276663,24.159958600997925,2,577.9763871281532,35.308637619018555
