seed,v3_len_0,v3_col_0,v3_time_0,v3_len_5,v3_col_5,v3_time_5,v5_len_0,v5_col_0,v5_time_0,v5_len_5,v5_col_5,v5_time_5
23,563.1017270727815,2,6.4827561378479,730.5498399001343,4,7.333938837051392,483.0252278134331,0,97.80001902580261,620.4247824992248,1,216.21410608291626
24,591.0529081941181,2,6.354541301727295,762.8790630594094,12,8.92066764831543,543.7678138724928,2,196.6953797340393,543.073134087892,1,134.83396077156067
25,572.2638683433358,1,6.8521788120269775,760.0295642232289,6,8.655023097991943,455.4873451353649,1,76.09979820251465,620.7136184418292,1,163.55081868171692
26,546.2966622899513,5,6.8288469314575195,578.5985376758031,5,7.861525774002075,600.7897266945049,1,153.6730785369873,684.1895329479714,1,102.05226516723633
27,565.9372827181669,3,6.835872173309326,721.0008820214765,6,8.089526653289795,469.3925420279091,2,52.708853006362915,575.8716125687502,2,97.54102969169617
28,612.8919096226068,1,6.587579250335693,618.3211892359295,1,7.496644973754883,548.3720044725399,2,126.5516209602356,579.8058271325851,2,136.6017837524414
29,655.7700976387395,3,7.124538421630859,654.009346554471,6,7.086045980453491,562.6679123677051,0,101.68313384056091,613.4833036526662,1,76.38678216934204
30,564.3937391869433,2,6.218065500259399,673.2931060569834,6,7.770032644271851,508.9005273713348,0,49.08097529411316,563.287436940697,0,82.01744794845581
31,620.6591016705054,0,6.468883752822876,718.3571298561201,5,7.383845567703247,510.83803113854964,1,77.79618453979492,681.1905592572604,1,77.5225715637207
32,521.7699296143279,1,5.381486415863037,571.010500278439,3,6.985214471817017,573.2424324084285,0,69.66939735412598,701.1657420160409,0,63.4798641204834
33,574.0419070235935,2,6.230026006698608,611.4161125205363,2,7.014652490615845,504.16557535042296,0,67.93387389183044,552.3598594649591,0,63.698195457458496
34,624.6098510029036,0,6.909633159637451,733.4568629277337,2,8.525961875915527,574.111353123944,2,162.2965705394745,658.6667055430214,3,217.5775110721588
35,664.6572251950391,4,7.236427307128906,575.7800081284828,1,7.596148729324341,602.6396475426407,2,278.5328872203827,634.2276377602226,2,232.85616660118103
36,671.403719265947,3,6.823729038238525,610.1144730883217,3,7.73262357711792,531.0242380351596,1,99.83959031105042,658.8801534039567,2,120.01147437095642
37,608.2092444546006,3,6.353507995605469,656.6988324350264,3,7.9404332637786865,534.8376550457169,0,78.46389985084534,667.9098328632646,1,147.3276755809784
38,628.005829182415,3,7.1915764808654785,678.1044587049577,7,8.124860763549805,498.6266907810204,0,28.217003107070923,577.7441724138425,1,189.01274943351746
39,589.4685102539961,0,6.947012186050415,610.0163589937512,3,7.857712984085083,498.9568327645281,0,12.51455044746399,568.7295959288581,1,162.09595847129822
40,808.2268252394564,3,8.248460054397583,752.4759141832569,0,8.300466060638428,670.9019377886455,1,296.92125606536865,651.1518305229079,1,205.45268607139587
41,536.1373845967549,2,6.036834955215454,640.5426583977408,4,7.564667463302612,486.5818744432775,3,223.5586531162262,498.12037120894485,5,254.19334244728088
42,446.04636287623595,0,6.2703893184661865,676.1361612112378,3,8.125383853912354,636.8809179025906,0,121.57953715324402,676.2730537608069,0,91.68272137641907
43,706.8994684487028,4,6.426236152648926,709.307047522711,2,8.31824779510498,505.2244655911329,0,27.469774961471558,585.6865077019096,1,157.22999787330627
44,531.3619270491504,0,6.232195615768433,690.5641793503311,2,8.072508335113525,454.2760519348563,0,59.9553427696228,639.7247264066813,0,34.90631937980652
45,544.7011454225902,2,6.04761528968811,619.0074576121275,1,7.3041558265686035,515.1299121461709,0,80.89568448066711,589.8928812248108,3,209.7717626094818
46,533.8257189319505,0,6.703672409057617,630.5843947833575,4,7.869823455810547,559.9858861389855,2,193.4438922405243,881.3094575698221,3,303.93736505508423
47,597.5297170974872,3,6.949410915374756,722.0038886894157,1,8.22602891921997,531.4970853533633,0,37.107967138290405,771.161359083133,1,132.36499071121216
48,529.844928965383,3,6.3027191162109375,558.2111105422214,3,6.579962253570557,512.1622443561804,0,48.669673204422,534.9614980353936,3,218.13114166259766
49,629.195714154277,3,6.209853887557983,651.8674459501009,3,6.962612152099609,634.4824722903727,3,265.2464106082916,708.5656389581609,1,144.52762746810913
50,513.5862394079712,2,6.034148693084717,610.0464318465312,3,7.712302923202515,549.2670385715346,1,87.9167845249176,555.2262206564037,3,207.42513990402222
